position,block,feature,span,based_on,calculation,scientific_meaning,used_in_main_pm10_pm25
0,dynamic_12h,RH2M,12 hourly values,2 m relative humidity at each hour in the 12 h window,Direct Tianji field after variable renaming.,Near-surface saturation controls fog and mist formation and aerosol hygroscopic growth.,yes
1,dynamic_12h,T2M,12 hourly values,2 m air temperature at each hour,Direct Tianji field after variable renaming.,"Sets saturation vapor pressure, cooling tendency and fog persistence conditions.",yes
2,dynamic_12h,PRECIP,12 hourly values,Surface precipitation at each hour,Direct Tianji field; log1p-transformed in model preprocessing.,Represents hydrometeor extinction and wet-scavenging or wet-weather low visibility.,yes
3,dynamic_12h,MSLP,12 hourly values,Mean sea-level pressure at each hour,Direct Tianji field after variable renaming.,"Synoptic pressure pattern proxy for stable high pressure, fronts and advection regime.",yes
4,dynamic_12h,SW_RAD,12 hourly values,Downward shortwave radiation at the surface,Direct Tianji field; log1p-transformed in model preprocessing.,Daytime heating and mixing proxy; low values at night favor radiative cooling.,yes
5,dynamic_12h,U10,12 hourly values,10 m zonal wind,Direct Tianji field after variable renaming.,Low-level advection and shear component affecting ventilation and fog displacement.,yes
6,dynamic_12h,WSPD10,12 hourly values,10 m wind speed,Direct Tianji or derived wind-speed field.,Weak wind supports stagnation; stronger wind ventilates fog and aerosols.,yes
7,dynamic_12h,V10,12 hourly values,10 m meridional wind,Direct Tianji field after variable renaming.,Low-level advection and shear component affecting moisture and aerosol transport.,yes
8,dynamic_12h,WDIR10,12 hourly values,10 m wind direction,Direct Tianji or derived wind-direction field.,Flow-regime indicator for terrain-channeling and moist-air source direction.,yes
9,dynamic_12h,CAPE,12 hourly values,Convective available potential energy,Direct Tianji field; log1p-transformed in model preprocessing.,Convective instability proxy; helps separate warm convective low visibility from radiative fog.,yes
10,dynamic_12h,LCC,12 hourly values,Low cloud cover,Direct Tianji field after variable renaming.,Cloud and near-surface liquid-water proxy linked to radiation and visibility loss.,yes
11,dynamic_12h,T_925,12 hourly values,925 hPa temperature,Direct Tianji field after variable renaming.,Lower-tropospheric thermal structure and inversion context.,yes
12,dynamic_12h,RH_925,12 hourly values,925 hPa relative humidity,Direct Tianji field after variable renaming.,Vertical humidity structure; distinguishes shallow fog from deeper moist layers.,yes
13,dynamic_12h,U_925,12 hourly values,925 hPa zonal wind,Direct Tianji field after variable renaming.,Low-level shear and advection above the surface.,yes
14,dynamic_12h,WSPD925,12 hourly values,925 hPa wind speed,Direct Tianji or derived wind-speed field.,Ventilation and shear proxy above the surface layer.,yes
15,dynamic_12h,V_925,12 hourly values,925 hPa meridional wind,Direct Tianji field after variable renaming.,Low-level shear and moisture transport above the surface.,yes
16,dynamic_12h,DP_1000,12 hourly values,1000 hPa dew-point temperature,Direct Tianji field after variable renaming.,Near-surface moisture content and saturation proximity.,yes
17,dynamic_12h,DP_925,12 hourly values,925 hPa dew-point temperature,Direct Tianji field after variable renaming.,Lower-tropospheric moisture reservoir and vertical moisture gradient.,yes
18,dynamic_12h,Q_1000,12 hourly values,1000 hPa specific humidity,Direct Tianji field after variable renaming.,Absolute near-surface moisture supply for condensation and haze growth.,yes
19,dynamic_12h,Q_925,12 hourly values,925 hPa specific humidity,Direct Tianji field after variable renaming.,Vertical moisture stratification and lower-tropospheric moisture support.,yes
20,dynamic_12h,W_925,12 hourly values,925 hPa vertical velocity,Direct Tianji omega field after variable renaming.,"Vertical motion proxy affecting cloud, mixing and moisture convergence.",yes
21,dynamic_12h,W_1000,12 hourly values,1000 hPa vertical velocity,Direct Tianji omega field after variable renaming.,Near-surface vertical motion proxy for mixing and convergence.,yes
22,dynamic_12h,DPD,12 hourly values,T2M and D2M,DPD = T2M - D2M; D2M is computed from T2M and RH2M if absent.,Dew-point depression; small values indicate near saturation.,yes
23,dynamic_12h,INVERSION,12 hourly values,T_925 and T2M,INVERSION = T_925 - T2M.,Low-level stability proxy; positive values suppress vertical mixing.,yes
24,dynamic_12h,zenith,12 hourly values,"station latitude, longitude and UTC valid time",pvlib apparent solar zenith angle; zero-filled if solar calculation fails.,"Solar geometry proxy for night, radiative cooling and daytime mixing.",yes
25,dynamic_12h,PM10_ugm3,12 hourly values,station PM10 time series matched to Tianji time and station,Nearest time/station match; max with zero; kg m-3 to ug m-3 by multiplying 1e12.,Coarse and total aerosol loading contributing to extinction.,yes
26,dynamic_12h,PM25_ugm3,12 hourly values,station PM2.5 time series matched to Tianji time and station,Nearest time/station match; max with zero; kg m-3 to ug m-3 by multiplying 1e12.,Fine aerosol loading; important for hygroscopic growth and scattering.,yes
27,static,lat_norm,station static value,station latitude,lat / 90.,"Climatological latitude gradient in radiation, temperature and fog regime.",yes
28,static,lon_norm,station static value,station longitude,lon / 180.,Regional circulation and climatological location proxy.,yes
29,static,orography,station static value,nearest terrain height h,h at nearest grid point.,"Altitude affects temperature, pressure, cloud base and station representativeness.",yes
30,static,orography_anom,station static value,nearest terrain height and local terrain window,h - mean(h in a radius-2 grid window).,Local valley/ridge exposure proxy for pooling and drainage flows.,yes
31,static,orography_std,station static value,local terrain window,std(h in a radius-2 grid window).,Terrain complexity proxy for sub-grid representativeness and local circulations.,yes
